,GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of admit
409,300.0,98.0,1.0,2.0,2.5,8.02,0.0,0.61
410,301.0,96.0,1.0,3.0,4.0,7.56,0.0,0.54
411,313.0,94.0,2.0,2.5,1.5,8.13,0.0,0.56
412,314.0,102.0,4.0,2.5,2.0,7.88,1.0,0.59
413,317.0,101.0,3.0,3.0,2.0,7.94,1.0,0.49
414,321.0,110.0,4.0,3.5,4.0,8.35,1.0,0.72
415,327.0,106.0,4.0,4.0,4.5,8.75,1.0,0.76
416,315.0,104.0,3.0,4.0,2.5,8.1,0.0,0.65
417,316.0,103.0,3.0,3.5,2.0,7.68,0.0,0.52
418,309.0,111.0,2.0,2.5,4.0,8.03,0.0,0.6
419,308.0,102.0,2.0,2.0,3.5,7.98,1.0,0.58
420,299.0,100.0,3.0,2.0,3.0,7.42,0.0,0.42
421,321.0,112.0,3.0,3.0,4.5,8.95,1.0,0.77
422,322.0,112.0,4.0,3.5,2.5,9.02,1.0,0.73
423,334.0,119.0,5.0,4.5,5.0,9.54,1.0,0.94
424,325.0,114.0,5.0,4.0,5.0,9.46,1.0,0.91
425,323.0,111.0,5.0,4.0,5.0,9.86,1.0,0.92
426,312.0,106.0,3.0,3.0,5.0,8.57,0.0,0.71
427,310.0,101.0,3.0,3.5,5.0,8.65,1.0,0.71
428,316.0,103.0,2.0,2.0,4.5,8.74,0.0,0.69
429,340.0,115.0,5.0,5.0,4.5,9.06,1.0,0.95
430,311.0,104.0,3.0,4.0,3.5,8.13,1.0,0.74
431,320.0,112.0,2.0,3.5,3.5,8.78,1.0,0.73
432,324.0,112.0,4.0,4.5,4.0,9.22,1.0,0.86
433,316.0,111.0,4.0,4.0,5.0,8.54,0.0,0.71
434,306.0,103.0,3.0,3.5,3.0,8.21,0.0,0.64
435,309.0,105.0,2.0,2.5,4.0,7.68,0.0,0.55
436,310.0,110.0,1.0,1.5,4.0,7.23,1.0,0.58
437,317.0,106.0,1.0,1.5,3.5,7.65,1.0,0.61
438,318.0,110.0,1.0,2.5,3.5,8.54,1.0,0.67
439,312.0,105.0,2.0,1.5,3.0,8.46,0.0,0.66
440,305.0,104.0,2.0,2.5,1.5,7.79,0.0,0.53
441,332.0,112.0,1.0,1.5,3.0,8.66,1.0,0.79
442,331.0,116.0,4.0,4.5,4.5,9.44,1.0,0.92
443,321.0,114.0,5.0,4.5,4.5,9.16,1.0,0.87
444,324.0,113.0,5.0,4.0,5.0,9.25,1.0,0.92
445,328.0,116.0,5.0,4.5,5.0,9.08,1.0,0.91
446,327.0,118.0,4.0,5.0,5.0,9.67,1.0,0.93
447,320.0,108.0,3.0,3.5,5.0,8.97,1.0,0.84
448,312.0,109.0,2.0,2.5,4.0,9.02,0.0,0.8
449,315.0,101.0,3.0,3.5,4.5,9.13,0.0,0.79
450,320.0,112.0,4.0,3.0,4.5,8.86,1.0,0.82
451,324.0,113.0,4.0,4.5,4.5,9.25,1.0,0.89
452,328.0,116.0,4.0,5.0,3.5,9.6,1.0,0.93
453,319.0,103.0,3.0,2.5,4.0,8.76,1.0,0.73
454,310.0,105.0,2.0,3.0,3.5,8.01,0.0,0.71
455,305.0,102.0,2.0,1.5,2.5,7.64,0.0,0.59
456,299.0,100.0,2.0,2.0,2.0,7.88,0.0,0.51
457,295.0,99.0,1.0,2.0,1.5,7.57,0.0,0.37
458,312.0,100.0,1.0,3.0,3.0,8.53,1.0,0.69
459,329.0,113.0,4.0,4.0,3.5,9.36,1.0,0.89
460,319.0,105.0,4.0,4.0,4.5,8.66,1.0,0.77
461,301.0,102.0,3.0,2.5,2.0,8.13,1.0,0.68
462,307.0,105.0,4.0,3.0,3.0,7.94,0.0,0.62
463,304.0,107.0,3.0,3.5,3.0,7.86,0.0,0.57
464,298.0,97.0,2.0,2.0,3.0,7.21,0.0,0.45
465,305.0,96.0,4.0,3.0,4.5,8.26,0.0,0.54
466,314.0,99.0,4.0,3.5,4.5,8.73,1.0,0.71
467,318.0,101.0,5.0,3.5,5.0,8.78,1.0,0.78
468,323.0,110.0,4.0,4.0,5.0,8.88,1.0,0.81
469,326.0,114.0,4.0,4.0,3.5,9.16,1.0,0.86
470,320.0,110.0,5.0,4.0,4.0,9.27,1.0,0.87
471,311.0,103.0,3.0,2.0,4.0,8.09,0.0,0.64
472,327.0,116.0,4.0,4.0,4.5,9.48,1.0,0.9
473,316.0,102.0,2.0,4.0,3.5,8.15,0.0,0.67
474,308.0,105.0,4.0,3.0,2.5,7.95,1.0,0.67
475,300.0,101.0,3.0,3.5,2.5,7.88,0.0,0.59
476,304.0,104.0,3.0,2.5,2.0,8.12,0.0,0.62
477,309.0,105.0,4.0,3.5,2.0,8.18,0.0,0.65
478,318.0,103.0,3.0,4.0,4.5,8.49,1.0,0.71
479,325.0,110.0,4.0,4.5,4.0,8.96,1.0,0.79
480,321.0,102.0,3.0,3.5,4.0,9.01,1.0,0.8
481,323.0,107.0,4.0,3.0,2.5,8.48,1.0,0.78
482,328.0,113.0,4.0,4.0,2.5,8.77,1.0,0.83
483,304.0,103.0,5.0,5.0,3.0,7.92,0.0,0.71
484,317.0,106.0,3.0,3.5,3.0,7.89,1.0,0.73
485,311.0,101.0,2.0,2.5,3.5,8.34,1.0,0.7
486,319.0,102.0,3.0,2.5,2.5,8.37,0.0,0.68
487,327.0,115.0,4.0,3.5,4.0,9.14,0.0,0.79
488,322.0,112.0,3.0,3.0,4.0,8.62,1.0,0.76
489,302.0,110.0,3.0,4.0,4.5,8.5,0.0,0.65
490,307.0,105.0,2.0,2.5,4.5,8.12,1.0,0.67
491,297.0,99.0,4.0,3.0,3.5,7.81,0.0,0.54
492,298.0,101.0,4.0,2.5,4.5,7.69,1.0,0.53
493,300.0,95.0,2.0,3.0,1.5,8.22,1.0,0.62
494,301.0,99.0,3.0,2.5,2.0,8.45,1.0,0.68
495,332.0,108.0,5.0,4.5,4.0,9.02,1.0,0.87
496,337.0,117.0,5.0,5.0,5.0,9.87,1.0,0.96
497,330.0,120.0,5.0,4.5,5.0,9.56,1.0,0.93
498,312.0,103.0,4.0,4.0,5.0,8.43,0.0,0.73
499,327.0,113.0,4.0,4.5,4.5,9.04,0.0,0.84
